date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:10:49	137703/137703	---MCZ	200	added ('OK')	text/html	date:Sun,%2015%20May%202022%2019:19:41%20GMT	https://i999bet.net/	C:/Users/vivan/Desktop/projecttrue/i999bet.net/index.html	(from )
20:10:51	70/70	---MCZ	200	added ('OK')	text/plain	date:Mon,%2016%20May%202022%2013:10:52%20GMT	https://i999bet.net/robots.txt		(from )
20:10:52	42/42	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Mon,%2016%20May%202022%2013:10:54%20GMT	https://i999bet.net/xmlrpc.php	C:/Users/vivan/Desktop/projecttrue/i999bet.net/xmlrpc.php	(from https://i999bet.net/)
20:10:53	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2016%20May%202022%2013:10:54%20GMT	http://i999bet.net/wp-content/themes/flatsome/assets/css/icons/fl-icons.eot	C:/Users/vivan/Desktop/projecttrue/i999bet.net/wp-content/themes/flatsome/assets/css/icons/fl-icons.1.delayed	(from https://i999bet.net/)
20:10:53	11520/11520	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22620ea26f-2d00%22	https://i999bet.net/wp-content/themes/flatsome/assets/css/icons/fl-icons.eot	C:/Users/vivan/Desktop/projecttrue/i999bet.net/wp-content/themes/flatsome/assets/css/icons/fl-icons.eot	(from https://i999bet.net/)
20:10:53	30662/30662	---M--	200	added ('OK')	image/gif	date:Mon,%2014%20Feb%202022%2007:55:26%20GMT	https://dubai86.com/wp-content/uploads/2022/02/dang-ky-dubai.gif	C:/Users/vivan/Desktop/projecttrue/dubai86.com/wp-content/uploads/2022/02/dang-ky-dubai.gif	(from https://i999bet.net/)
20:10:53	467123/467123	---MCZ	200	added ('OK')	text/css	etag:W/%226263e7db-720b3%22	https://i999bet.net/wp-content/cache/min/1/5f7b93e3fc3a803a4b6b5bd4103e24e7.css	C:/Users/vivan/Desktop/projecttrue/i999bet.net/wp-content/cache/min/1/5f7b93e3fc3a803a4b6b5bd4103e24e7.css	(from https://i999bet.net/)
20:10:54	662/662	---M--	200	added ('OK')	image/png	etag:%2262603088-296%22	https://i999bet.net/wp-content/plugins/wp-rocket/assets/img/youtube.png	C:/Users/vivan/Desktop/projecttrue/i999bet.net/wp-content/plugins/wp-rocket/assets/img/youtube.png	(from https://i999bet.net/)
20:10:55	89521/89521	---MCZ	200	added ('OK')	application/javascript	etag:W/%22620e9fee-15db1%22	https://i999bet.net/wp-includes/js/jquery/jquery.min.js?ver=3.6.0	C:/Users/vivan/Desktop/projecttrue/i999bet.net/wp-includes/js/jquery/jquery.minaf6c.js	(from https://i999bet.net/)
20:10:55	767/767	---MC-	200	added ('OK')	application/rss+xml	etag:%2286053a389a9365dad5a3b3c544ff384a%22	https://i999bet.net/comments/feed/	C:/Users/vivan/Desktop/projecttrue/i999bet.net/comments/feed/index.html	(from https://i999bet.net/)
